,date,state,positive
641,2020-04-17,CS,58
642,2020-04-17,CL,40
643,2020-04-17,CJ,224
644,2020-04-17,CT,172
645,2020-04-17,CV,123
646,2020-04-17,DB,73
647,2020-04-17,DJ,57
648,2020-04-17,GL,260
649,2020-04-17,GR,83
650,2020-04-17,GJ,12
651,2020-04-17,HR,11
652,2020-04-17,HD,372
653,2020-04-17,IL,114
654,2020-04-17,IS,149
655,2020-04-17,IF,160
656,2020-04-17,MM,55
657,2020-04-17,MH,35
658,2020-04-17,MS,250
659,2020-04-17,NT,350
660,2020-04-17,OT,13
661,2020-04-17,PH,50
662,2020-04-17,SM,42
663,2020-04-17,SJ,19
664,2020-04-17,SB,126
665,2020-04-17,SV,1924
666,2020-04-17,TR,77
667,2020-04-17,TM,354
668,2020-04-17,TL,25
669,2020-04-17,VS,58
670,2020-04-17,VL,17
671,2020-04-17,VN,186
672,2020-04-17,B,942
673,2020-04-18,AB,154
674,2020-04-18,AR,391
675,2020-04-18,AG,74
676,2020-04-18,BC,102
677,2020-04-18,BH,233
678,2020-04-18,BN,104
679,2020-04-18,BT,308
680,2020-04-18,BV,308
681,2020-04-18,BR,16
682,2020-04-18,BZ,15
683,2020-04-18,CS,64
684,2020-04-18,CL,40
685,2020-04-18,CJ,237
686,2020-04-18,CT,181
687,2020-04-18,CV,154
688,2020-04-18,DB,73
689,2020-04-18,DJ,59
690,2020-04-18,GL,262
691,2020-04-18,GR,91
692,2020-04-18,GJ,12
693,2020-04-18,HR,16
694,2020-04-18,HD,385
695,2020-04-18,IL,115
696,2020-04-18,IS,154
697,2020-04-18,IF,159
698,2020-04-18,MM,55
699,2020-04-18,MH,35
700,2020-04-18,MS,268
701,2020-04-18,NT,357
702,2020-04-18,OT,13
703,2020-04-18,PH,51
704,2020-04-18,SM,44
705,2020-04-18,SJ,20
706,2020-04-18,SB,139
707,2020-04-18,SV,2019
708,2020-04-18,TR,79
709,2020-04-18,TM,361
710,2020-04-18,TL,31
711,2020-04-18,VS,58
712,2020-04-18,VL,18
713,2020-04-18,VN,186
714,2020-04-18,B,977
715,2020-04-19,AB,155
716,2020-04-19,AR,402
717,2020-04-19,AG,90
